,-3sigma,-2sigma,-1sigma,median,1sigma,2sigma,3sigma,mean,best fit
mass_1,-375.9061482954021,-281.3941006028781,-128.82968625253488,15389.492548676284,170.02750958867182,351.10205007228797,505.42787132202466,15403.198738858013,15253.415107683013
mass_2,-166.34135894907092,-130.77332098580905,-71.11196485432117,837.4215856785341,118.42002675723074,210.3685647872361,294.44230541890863,851.8443547277094,846.0882457751464
sma_2,-1645.8953334155194,-855.5401759372398,-76.56502670757618,12452.949394600888,112.45201299725886,725.2832177278906,812.4721488472187,12464.582548495911,12400.467095201278
ecc_2,-0.01597956767440057,-0.015309927087565643,-0.008213156434372614,0.016226102659832955,0.007702086066359238,0.019339655010905964,0.028100165692958885,0.01638167445073467,0.01962952173234894
aop_2,-112.38505915537917,-107.88183588658677,-72.03823202398479,113.35456400066492,49.2144232502814,241.2255614502928,245.89462287459133,120.03181049177027,127.83401549480956
inc_2,-1.3745147943955516,-1.1066140990918072,-0.6078316635928616,61.54652010107945,0.6139285377907839,1.1685086486933187,1.5301680455112603,61.55491142024564,62.091253062046775
lan_2,-1.1268387243698044,-0.74421617462977,-0.3516636894930798,138.98488936767438,0.3486959677982213,0.7691336509496125,1.2117012416708803,138.98647005935885,138.89229832019967
mea_2,-88.45381468406563,-85.19449522844337,-63.73020281595263,89.24733045460422,222.00991290558878,266.73485140550724,270.20224750060436,122.50898441874061,5.192167215595987
mass_3,-75.09587995736936,-59.26516160706106,-26.81634001834668,78.72733866380545,50.084461239378186,95.43661306483497,115.21568214558573,86.19314247543215,72.2201354270157
sma_3,-297.7301151748543,-226.8145399309724,-111.57144129936933,37364.56972114759,104.39739798087976,231.62965607053047,313.75932452500274,37362.85049829305,37245.88102848968
ecc_3,-0.0039246567568170816,-0.0034106896543431983,-0.002028076147324959,0.004323795301129818,0.0024891054390216725,0.005451568126119888,0.007976036764359241,0.0045729587309732474,0.004188588488833414
aop_3,-298.330274899773,-294.41098490591946,-110.72741660845742,299.22036554656825,36.97854972069376,56.27786838744839,60.09156335561295,261.1571232894683,282.0997564676329
inc_3,-1.6423660681415555,-1.24178513833958,-0.6461775754540326,61.96930597197748,0.7583826518413304,1.51386642834251,1.9507406132035783,62.01473418136135,62.642780429423674
lan_3,-1.3975430378190197,-1.0285933288062097,-0.5330599542465961,138.5144058565569,0.5426737210838155,1.1392805059580269,1.638037053070633,138.52438159506306,138.15273881806323
mea_3,-65.48953599371346,-63.55292537244115,-48.83207424932165,66.0132579594644,268.6133120914164,291.1563103870537,293.4722890061871,128.27480993309885,55.84327245389795
mass_2/mass_1,-4.900388035862182,-3.8132654431172686,-2.375616969268453,18.38955635534475,1.814953788947875,3.592651311725156,4.992441127374885,18.279732301110013,18.028160991302446
period_2,-0.5848985478954187,-0.30978971398684463,-0.020464337291000945,3.0675047758637417,0.03682574188838261,0.2717937601300551,0.304345360616213,3.0731018193181607,3.0635420915464775
a_timescale_2,-42904654.3570281,-29670492.23520946,-14301346.253666691,62211213.65366462,11398279.935435161,25407194.122323364,37311591.70839061,61329727.03693572,57722233.64805309
despin_timescale_2,-136116.2872239044,-87784.30244286411,-26212.981551074132,219968.2314154709,24935.55584644829,52268.08082975325,64036.65293192613,218385.27366496276,210977.26614025954
e_timescale_2,-3.566370092078095e-05,-1.816037481885584e-05,-6.055656690345496e-06,6.57911170597906e-05,1.2361631483719833e-05,4.59576151329552e-05,5.031544137685616e-05,6.913258190862585e-05,6.660908619055518e-05
mass_3/mass_1,-116.06829319795466,-107.56243759671274,-75.95372736482673,195.74015390375038,100.83606274326146,601.0852770523443,4134.009751763537,483.2522785830103,211.20723490054687
period_3,-0.10875212983059512,-0.07830875688465255,-0.041586019273651686,16.32372634469896,0.07900344565914708,0.13751255401533768,0.19109939499106687,16.33532876739888,16.34485829764573
a_timescale_3,-329344086301041.6,-314038623094883.8,-246253711894737.2,396262778722970.9,511633327830908.4,6188956265315417.0,1.916306929389422e+17,7.527444765995708e+18,460983099276444.9
despin_timescale_3,-27992739821.893585,-25828442946.846375,-18273354265.86659,47786452798.49234,24662635307.71425,146337745249.17807,999756047404.8798,117474074447.26408,51619817885.26828
e_timescale_3,-0.8684349252539643,-0.6862743141106529,-0.3109533229560899,0.9098166306744386,0.5956203772386162,1.1471453826749411,1.3807081242996406,1.0037549314535141,0.834206300133863
sat-sat inc,-0.6707425053670598,-0.5439973181807624,-0.2937033669366542,0.7855811426172445,0.3269337476838017,0.673721008854818,1.0070089097354469,0.8013284477695626,0.8564262889552359
mass_3/mass_2,-0.09132309478919261,-0.07225538350148031,-0.034656937856816755,0.09523477238634019,0.05681396887297592,0.1061014407356239,0.13643558983870913,0.10176233592296553,0.08535768672787908
period_3/period_2,,,,,,,,,
