,time,dist,RA-Primary,DEC-Primary,Delta-RA,Delta-RA-err,Delta-DEC,Delta-DEC-err
0,2452552.0983,37.55838,21.415481,-16.09394,-0.03528,0.0041600000000000005,0.07056,0.01008
1,2453576.20782,37.15639,21.818947,-14.42436,0.09392,0.00056,0.03652,0.00057
2,2454287.47108,37.32587,22.044836,-13.43876,-0.01522,0.0022199999999999998,-0.14436,0.0012699999999999999
3,2454288.9413900003,37.30862,22.043494,-13.44711,-0.02094,0.00165,-0.14481,0.001
4,2454294.37924,37.248870000000004,22.038161,-13.47981,-0.05148,0.00281,-0.13555999999999999,0.001
5,2454314.42507,37.09062,22.01435,-13.62004,-0.07347000000000001,0.00233,0.0033799999999999998,0.00446
6,2454336.89252,37.044779999999996,21.983278,-13.79475,0.10699000000000002,0.00247,0.00925,0.00137
7,2456146.00064,43.61963,23.069981,19.67878,-0.04287,0.05,-0.08995,0.05
8,2456590.72987,37.32424,22.530164000000003,-11.373560000000001,-0.03725,0.001,0.0505,0.001
9,2457270.99837,36.80695,22.794328,-10.02414,0.04715,0.00256,0.07722000000000001,0.00312
