,time,Lat_Prim,Long_Prim,DeltaLat_Vanth,DeltaLong_Vanth,DeltaLat_Vanth_err,DeltaLong_Vanth_err
0,2453687.379650901,-7.80070326064742,5.908234538324485,-0.21408280332160246,0.13333453686728014,0.009523786106847754,0.006048250146327857
1,2454040.093836799,-8.163563494582379,5.806917761105856,-0.19353392161178817,0.1618440451851973,0.0007414391478384271,0.0010144830050656838
2,2454042.2910351595,-8.182378843292271,5.7996906991006885,-0.1701756362770368,-0.1753675391064282,0.0005064101085697987,0.0005058191950073542
3,2454044.090093818,-8.19750856142999,5.793815713852594,0.09801021650588382,-0.23926697952017692,0.0007274680637905715,0.0005639839597828235
4,2454051.303238445,-8.25525436680308,5.770727280091109,-0.22012928729111536,-0.10331893002445504,0.000873483330052114,0.00179488948460805
5,2454055.8128250903,-8.288794639056086,5.756760392939017,0.23558730856052534,0.06202204518593269,0.0005155617144857924,0.0005632094501702101
6,2454065.87046762,-8.355324524884274,5.727397233882419,0.1991946376485032,0.14361170520144217,0.0005643155705705925,0.0008221329345823174
7,2454080.0601371094,-8.426909421595038,5.691500616604783,-0.21079127584542334,-0.126389648760797,0.0005031344801230806,0.0005109302608919876
8,2454416.0169375925,-8.712949669000352,5.631185129800017,0.08295194867642408,-0.25024993735335344,0.005155776378776486,0.005069930325026678
9,2454439.5041514724,-8.866274945709872,5.562843153308971,-0.025429383968145203,0.25341981530625274,0.003957128339931113,0.0028161372297177637
10,2455250.4602683536,-9.723493528655732,5.229022726380558,-0.05652116185643763,0.25855056963632,0.024983445070997107,0.025113390601398253
11,2457117.6025678725,-11.726886646527364,4.604630852532113,0.24143783950663078,0.020924740402584976,0.0009772384610774254,0.0010274995826322635
12,2459271.6524257218,-14.728806214460612,3.6560724195416237,0.09934754054299333,-0.24399717661769554,0.0021496875714369624,0.0013330624791039415
